"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.384664773E2,6.500808964E1,2.549954958E1,1.119543133E1,3.490000010E0,2.118999939E2,3.790092468E0,2.500000000E0
1.394665585E2,6.500806238E1,2.549951086E1,1.114038469E1,3.460000038E0,2.115000000E2,3.790092468E0,2.500000000E0
1.404658799E2,6.500803504E1,2.549947153E1,1.091889517E1,3.420000076E0,2.120000000E2,3.790092468E0,2.500000000E0
1.414665946E2,6.500800814E1,2.549943218E1,1.132014719E1,3.329999924E0,2.111000061E2,3.790092468E0,2.500000000E0
1.424655681E2,6.500798204E1,2.549939373E1,1.120601814E1,3.240000010E0,2.118000031E2,3.790092468E0,2.500000000E0
1.434659287E2,6.500795598E1,2.549935482E1,1.141043151E1,3.269999981E0,2.110000000E2,3.790092468E0,2.500000000E0
1.444666092E2,6.500793029E1,2.549931660E1,1.149228622E1,3.279999971E0,2.111000061E2,3.790092468E0,2.500000000E0
1.454665978E2,6.500790493E1,2.549927906E1,1.128855735E1,3.259999990E0,2.113000031E2,3.790092468E0,2.500000000E0
1.464662113E2,6.500788013E1,2.549924273E1,1.110484790E1,3.210000038E0,2.116000061E2,3.790092468E0,2.500000000E0
1.474665677E2,6.500785551E1,2.549920849E1,1.130828453E1,3.240000010E0,2.098999939E2,3.790092468E0,2.500000000E0
1.484663150E2,6.500783003E1,2.549917394E1,1.116302759E1,3.309999943E0,2.108000031E2,3.790092468E0,2.500000000E0
1.494659835E2,6.500780573E1,2.549913576E1,1.113709372E1,3.259999990E0,2.136999969E2,3.790092468E0,2.500000000E0
1.504664386E2,6.500778533E1,2.549909134E1,1.118879477E1,2.980000019E0,2.231999969E2,3.790092468E0,2.500000000E0
1.514666094E2,6.500777210E1,2.549903186E1,1.116737217E1,3.079999924E0,2.433000031E2,3.790092468E0,2.500000000E0
1.524657895E2,6.500777122E1,2.549896085E1,1.144996052E1,3.240000010E0,2.691000061E2,3.790092468E0,2.500000000E0
1.534664585E2,6.500778270E1,2.549888844E1,1.154437301E1,3.380000114E0,2.875000000E2,3.790092468E0,2.500000000E0
1.544665137E2,6.500779997E1,2.549882027E1,1.150920609E1,3.480000019E0,2.967000122E2,3.790092468E0,2.500000000E0
1.554659301E2,6.500781827E1,2.549875621E1,1.162650489E1,3.349999905E0,3.005000000E2,3.790092468E0,2.500000000E0
1.564657249E2,6.500783658E1,2.549869468E1,1.175167739E1,3.259999990E0,3.018999939E2,3.790092468E0,2.500000000E0
1.574659390E2,6.500785396E1,2.549863358E1,1.171242154E1,3.299999952E0,3.017000122E2,3.790092468E0,2.500000000E0
1.584665455E2,6.500787072E1,2.549857034E1,1.168219896E1,3.430000067E0,3.017000122E2,3.790092468E0,2.500000000E0
1.594665910E2,6.500788726E1,2.549850791E1,1.161852926E1,3.319999933E0,3.008999939E2,3.790092468E0,2.500000000E0
1.604659368E2,6.500790319E1,2.549844561E1,1.159276260E1,3.349999905E0,3.003999939E2,3.790092468E0,2.500000000E0
1.614656030E2,6.500791944E1,2.549838356E1,1.161265015E1,3.410000086E0,3.020000000E2,3.790092468E0,2.500000000E0
1.624658239E2,6.500793485E1,2.549832304E1,1.151254298E1,3.279999971E0,3.020000000E2,3.790092468E0,2.500000000E0
1.634649289E2,6.500794975E1,2.549826184E1,1.190193789E1,3.279999971E0,3.007000122E2,3.790092468E0,2.500000000E0
1.644651484E2,6.500796572E1,2.549819749E1,1.210956952E1,3.430000067E0,3.012000122E2,3.790092468E0,2.500000000E0
1.654654493E2,6.500798188E1,2.549813299E1,1.227703993E1,3.420000076E0,3.005000000E2,3.790092468E0,2.500000000E0
1.664647384E2,6.500799725E1,2.549807060E1,1.245073635E1,3.349999905E0,3.003999939E2,3.790092468E0,2.500000000E0
1.674653752E2,6.500801316E1,2.549800873E1,1.253873925E1,3.299999952E0,3.012999878E2,3.790092468E0,2.500000000E0
1.684646622E2,6.500802891E1,2.549794827E1,1.252011389E1,3.289999962E0,3.008999939E2,3.790092468E0,2.500000000E0
1.694646515E2,6.500804338E1,2.549788863E1,1.280245339E1,3.289999962E0,3.000000000E2,3.790092468E0,2.500000000E0
1.704655969E2,6.500805810E1,2.549782633E1,1.278352309E1,3.329999924E0,3.000000000E2,3.790092468E0,2.500000000E0
1.714652923E2,6.500807406E1,2.549776353E1,1.279053225E1,3.359999895E0,3.005000000E2,3.790092468E0,2.500000000E0
1.724651246E2,6.500808838E1,2.549770337E1,1.286107977E1,3.180000067E0,2.992999878E2,3.790092468E0,2.500000000E0
1.734646693E2,6.500810202E1,2.549763976E1,1.300737193E1,3.319999933E0,2.980000000E2,3.790092468E0,2.500000000E0
1.744656078E2,6.500811502E1,2.549757688E1,1.286191631E1,3.309999943E0,2.978999939E2,3.790092468E0,2.500000000E0
1.754649281E2,6.500812835E1,2.549751484E1,1.311086982E1,3.289999962E0,2.982000122E2,3.790092468E0,2.500000000E0
1.764653697E2,6.500814223E1,2.549745315E1,1.316090957E1,3.269999981E0,2.992999878E2,3.790092468E0,2.500000000E0
1.774646067E2,6.500815668E1,2.549739078E1,1.315296568E1,3.369999886E0,2.993999939E2,3.790092468E0,2.500000000E0
1.784654567E2,6.500817209E1,2.549732579E1,1.299377615E1,3.460000038E0,3.002999878E2,3.790092468E0,2.500000000E0
1.794652414E2,6.500818844E1,2.549726071E1,1.285741343E1,3.519999981E0,3.012000122E2,3.790092468E0,2.500000000E0
1.804655844E2,6.500820370E1,2.549719965E1,1.313761630E1,3.369999886E0,3.010000000E2,3.790092468E0,2.500000000E0
1.814648046E2,6.500821754E1,2.549714018E1,1.326321774E1,3.269999981E0,2.998999939E2,3.790092468E0,2.500000000E0
1.824649436E2,6.500823201E1,2.549707966E1,1.299630179E1,3.339999914E0,3.002999878E2,3.790092468E0,2.500000000E0
